"","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"3575","NEF_GloFung-its2_370_2021",19.68,-96.85,3,555,487,284,740,55,350
"3576","NEF_GloFung-its2_371_2021",19.67,-100.29,82,499,496,229,825,57,296
"3577","NEF_GloFung-its2_372_2021",14.78,-91,88,446,433,235,645,61,371
"3578","NEF_GloFung-its2_373_2021",14.52,-90.88,88,492,418,228,801,58,377
"3579","NEF_GloFung-its2_374_2021",14.09,-90.62,88,278,297,252,490,63,363
"3580","NEF_GloFung-its2_375_2021",14.05,-90.48,88,297,300,234,409,61,378
"3581","NEF_GloFung-its2_376_2021",13.91,-90.42,88,251,320,217,261,63,370
"3582","NEF_GloFung-its2_377_2021",14.4,-90.47,88,294,335,223,469,59,320
"3583","NEF_GloFung-its2_378_2021",20.26,-87.39,51,0,0,0,0,0,0
"3584","NEF_GloFung-its2_379_2021",20.75,-88.47,50,866,369,292,632,74,208
"3585","NEF_GloFung-its2_380_2021",20.68,-88.57,50,797,356,319,540,72,228
"3586","NEF_GloFung-its2_381_2021",19.08,-91.06,89,0,0,0,0,0,0
"3587","NEF_GloFung-its2_382_2021",19.77,-90.55,89,301,354,289,458,74,219
"3588","NEF_GloFung-its2_383_2021",20.86,-90.14,66,562,384,331,854,79,341
"3589","NEF_GloFung-its2_384_2021",-25.69,-54.43,43,0,0,0,0,0,0
"3590","NEF_GloFung-its2_385_2021",-25.24,-53.96,90,374,153,151,483,55,346
"3591","NEF_GloFung-its2_386_2021",-25.16,-53.84,90,373,183,167,488,54,336
"3592","NEF_GloFung-its2_387_2021",-25.08,-53.19,90,393,147,208,546,52,310
"3593","NEF_GloFung-its2_388_2021",-25.47,-50.4,91,336,293,241,559,50,374
"3594","NEF_GloFung-its2_389_2021",-25.47,-49.7,91,352,252,205,602,51,317
"3595","NEF_GloFung-its2_390_2021",-25.67,-48.45,46,0,0,0,0,0,0
"3596","NEF_GloFung-its2_391_2021",-25.37,-48.87,46,430,288,218,668,47,306
"3597","NEF_GloFung-its2_392_2021",-24.6,-47.88,46,454,483,260,551,50,217
"3598","NEF_GloFung-its2_393_2021",-24.25,-46.92,92,414,413,253,586,49,224
"3599","NEF_GloFung-its2_394_2021",-22.39,-44.76,42,499,509,193,534,50,186
"3600","NEF_GloFung-its2_395_2021",-22.36,-44.74,42,637,451,221,1041,49,235
"3601","NEF_GloFung-its2_396_2021",-22.4,-44.67,42,640,398,223,710,51,287
"3602","NEF_GloFung-its2_397_2021",-22.6,-43.56,93,369,387,152,426,52,331
"3603","NEF_GloFung-its2_398_2021",-22.64,-42.47,93,247,510,176,370,56,201
"3604","NEF_GloFung-its2_399_2021",-22.1,-41.44,94,372,364,265,455,57,332
"3605","NEF_GloFung-its2_400_2021",-22.13,-41.35,94,381,368,253,542,59,339
"3606","NEF_GloFung-its2_401_2021",-22.09,-41.45,94,358,331,269,486,57,317
"3607","NEF_GloFung-its2_402_2021",-21.79,-41.44,94,292,492,189,456,55,180
"3608","NEF_GloFung-its2_403_2021",-21.2,-41.29,94,292,486,183,383,58,214
"3609","NEF_GloFung-its2_404_2021",-20.69,-40.73,95,298,445,201,469,56,256
"3610","NEF_GloFung-its2_405_2021",-19.66,-39.89,96,596,300,252,674,56,234
"3611","NEF_GloFung-its2_406_2021",-19,-40.01,96,333,469,149,413,53,207
"3612","NEF_GloFung-its2_407_2021",-18.1,-39.89,38,359,464,164,496,52,219
"3613","NEF_GloFung-its2_408_2021",-16.99,-39.57,38,291,457,180,460,54,241
"3614","NEF_GloFung-its2_409_2021",-15.88,-39.53,97,320,476,179,554,56,226
"3615","NEF_GloFung-its2_410_2021",-14.43,-39.05,98,324,375,172,391,51,273
"3616","NEF_GloFung-its2_411_2021",-14.16,-39,98,277,320,256,814,50,369
"3617","NEF_GloFung-its2_412_2021",-13.69,-39.06,99,0,0,0,0,0,0
"3618","NEF_GloFung-its2_413_2021",-12.8,-39.2,99,302,486,257,503,58,236
"3619","NEF_GloFung-its2_414_2021",-11.77,-37.73,41,211,492,172,346,53,220
"3620","NEF_GloFung-its2_415_2021",-11.66,-37.48,41,200,407,163,383,53,280
"3621","NEF_GloFung-its2_416_2021",-11.48,-37.48,41,197,420,144,333,51,306
"3622","NEF_GloFung-its2_417_2021",-10.97,-37.26,100,204,404,127,328,53,326
"3623","NEF_GloFung-its2_418_2021",-10.65,-36.87,100,161,491,133,305,54,256
"3624","NEF_GloFung-its2_419_2021",-10.69,-36.84,100,189,497,119,312,54,262
"3625","NEF_GloFung-its2_420_2021",-10.63,-36.76,100,165,423,127,248,53,286
"3626","NEF_GloFung-its2_421_2021",-10.62,-36.71,100,244,398,136,376,53,277
"3627","NEF_GloFung-its2_422_2021",-10.79,-36.91,100,222,340,175,439,54,317
"3628","NEF_GloFung-its2_423_2021",-10.76,-36.97,100,208,435,153,327,51,283
"3629","NEF_GloFung-its2_424_2021",-10.95,-37.15,100,232,402,145,373,52,338
"3630","NEF_GloFung-its2_425_2021",-10.8,-37.29,100,226,505,134,338,52,216
"3631","NEF_GloFung-its2_426_2021",-10.59,-37.49,100,247,522,181,330,61,211
"3632","NEF_GloFung-its2_427_2021",-9.88,-38.05,101,206,577,272,299,67,224
"3633","NEF_GloFung-its2_428_2021",-8.74,-38.47,39,76,643,199,78,67,203
"3634","NEF_GloFung-its2_429_2021",-8.68,-38.81,39,99,591,201,117,68,249
"3635","NEF_GloFung-its2_430_2021",-8.46,-39.19,39,112,582,210,102,66,224
"3636","NEF_GloFung-its2_431_2021",-7.31,-38.93,102,107,527,168,113,61,255
"3637","NEF_GloFung-its2_432_2021",-5.64,-38.99,103,125,664,194,131,60,183
"3638","NEF_GloFung-its2_433_2021",-4.89,-39.05,37,135,617,184,202,61,217
"3639","NEF_GloFung-its2_434_2021",-4.48,-38.88,37,120,738,154,166,58,137
"3640","NEF_GloFung-its2_435_2021",-4.41,-38.91,37,188,573,156,307,54,193
"3641","NEF_GloFung-its2_436_2021",-3.98,-38.63,37,319,480,158,509,51,261
"3642","NEF_GloFung-its2_437_2021",16.04,-61.64,36,735,300,288,908,53,323
"3643","NEF_GloFung-its2_438_2021",16.19,-61.74,36,700,286,271,810,59,267
"3644","NEF_GloFung-its2_439_2021",16.31,-61.8,36,0,0,0,0,0,0
"3645","NEF_GloFung-its2_440_2021",15.5,-61.26,36,671,298,262,613,57,338
"3646","NEF_GloFung-its2_441_2021",15.38,-61.34,36,682,254,288,813,56,349
"3647","NEF_GloFung-its2_442_2021",15.26,-61.34,36,607,241,276,913,57,328
"3648","NEF_GloFung-its2_443_2021",15.35,-61.32,36,629,292,229,959,53,310
"3649","NEF_GloFung-its2_444_2021",15.58,-61.47,36,0,0,0,0,0,0
"3650","NEF_GloFung-its2_445_2021",18.45,-64.53,35,0,0,0,0,0,0
"3651","NEF_GloFung-its2_446_2021",18.4,-64.66,35,585,313,289,697,57,393
"3652","NEF_GloFung-its2_447_2021",18.39,-64.71,35,0,0,0,0,0,0
"3653","NEF_GloFung-its2_448_2021",18.14,-66.97,34,976,203,298,1256,51,340
"3654","NEF_GloFung-its2_449_2021",17.94,-66.95,34,615,202,392,607,72,396
"3655","NEF_GloFung-its2_450_2021",18.18,-66.49,34,715,151,299,1028,52,361
"3656","NEF_GloFung-its2_451_2021",18.13,-66.07,56,466,202,259,538,54,316
"3657","NEF_GloFung-its2_452_2021",18.31,-65.75,56,589,168,266,709,50,407
