new.ID,SampleID,latitud,longitud,area,pais,estado  ,localidad,submuestras,area_m2,ultimo_incendio,fecha de colecta,bioma,bioregion,ecoregion,nativeness,advertencia,delta15N,N_conc_g_kg,P_conc_mg_kg,abund,riqueza,mold_Eurotiales_Abundance,mold_Mortierellales_Abundance,mold_Mucorales_Abundance,mold_Trichoderma_Abundance,mold_Umbelopsidales_Abundance
AtlasMXA_S666_2025,S666,24.4,-99.92,Mexico:Nuevo León:La Ascension,México,Nuevo León,La Ascensión,40,2500,100,42427,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican Drylands Bioregion,Sierra Madre Oriental Pine-Oak Forests,,,2.797446538,7.142785033,71.62919321,7691,1089,3.588610064,1.02717462,0.104017683,0.117019893,0.091015473
AtlasMXA_S907_2025,S907,19,-99.1,"Mexico:Tepoztlan, morelos",México,Morelos,Tepoztlán,40,2500,100,43429,forest: tropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Trans-mexican Volcanic belt Pine-Oak Forests,,,2.791207251,9.125428964,111.5520785,5709,1650,2.557365563,2.977754423,0.367840252,0.262743037,0.052548607
AtlasMXA_S908N_2025,S908N,19.28,-99.37,Mexico:Edomex:El Zarco,México,Estado de México,Valle del silencio,40,2500,100,43430,forest: tropical coniferous forest biome,Mexican Dry & Coniferous Forests Bioregion,Trans-mexican Volcanic belt Pine-Oak Forests,,,0.14394703,6.218774146,3.91648213,6562,1619,3.474550442,0.502895459,0.152392563,0.274306614,1.341054557
AtlasMXA_S909_2025,S909,19.28,-99.37,Mexico:Edomex:El Zarco,México,Estado de México,Valle del silencio,40,2500,100,43430,forest: tropical coniferous forest biome,Mexican Dry & Coniferous Forests Bioregion,Trans-mexican Volcanic belt Pine-Oak Forests,,,0.173457181,9.123239862,37.76552113,6318,1132,0.269072491,7.043368154,0.300728079,0.015827794,0
AtlasMXA_S910N_2025,S910N,19.29,-99.19,Mexico:Ciudad de Mexico:Bosque de Tlalpan,México,CDMX,Bosque de Tlalpan,40,2500,100,43430,forest: tropical broadleaf forest biome,Sierra Madre Forests and Mexican drylands bioregion,Central Mexican Matorral,non-native,,3.245482208,7.318165038,1.48942446,3181,954,1.823325998,2.26343917,0.188619931,0.220056586,0.094309965
AtlasMXA_S911_2025,S911,16.16,-91.31,Mexico:Chiapas:Maravilla Tenejapa,México,Chiapas,Maravilla de Tenejapa,40,2500,100,43438,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Petén-Veracruz moist forests,,,-0.098704032,13.34334939,9.330835149,5108,1391,2.388410337,0.509005482,0.646045419,1.429130775,0
AtlasMXA_S912_2025,S912,16.15,-90.89,Mexico:Chiapas:Lacantún,México,Chiapas,Lacantún,40,2500,100,43439,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Petén-Veracruz moist forests,,,1.955136411,11.88701868,30.90016245,2732,607,0.109809663,0.256222548,0.036603221,0,0
AtlasMXA_S913_2025,S913,16.25,-90.83,Mexico:Chiapas:Centro Ecoturistico Ara Macao Las Guacamayas,México,Chiapas,Tlatizapán,40,2500,100,43440,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Petén-Veracruz moist forests,,,1.306230447,13.22188874,21.21567871,7140,1619,0.714285714,1.988795518,0.168067227,1.848739496,0
AtlasMXA_S914_2025,S914,16.1,-91.69,Mexico:Chiapas:Lagos de Monte Bello,México,Chiapas,Laguna de Montebello,40,2500,100,43440,forest: tropical coniferous forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Petén-Veracruz moist forests,,molds_above_5SD_median,1.033892977,5.674049864,3.880605208,7415,967,59.04248146,0.148347943,0.04045853,0.93054619,2.38705327
AtlasMXA_S915_2025,S915,16.55,-93.88,Mexico:Chiapas:Rancho Calimayor,México,Chiapas,Coronel Luis Espinosa,40,2500,100,43441,forest: tropical broadleaf forest biome,Central american Mixed forests bioregion,Chiapas Depression Dry Forests,,,3.458522014,4.34374939,0.845460818,7855,1024,3.2718014,0.114576703,0.076384468,0.534691279,0
AtlasMXA_S916_2025,S916,16.6,-95.02,Mexico:Oaxaca:La Ventosa,México,Oaxaca,La Cueva,40,2500,100,43441,forest: tropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Southern Pacific Dry Forests,,,6.129795569,5.070063054,1.905430917,7645,1133,2.249836494,0.915631131,0.654022237,0.104643558,0
AtlasMXA_S917_2025,S917,16.11,-95.32,Mexico:Oaxaca:Morro de Mazatán,México,Oaxaca,Guelaguechi,40,2500,100,43441,forest: tropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Southern Pacific Dry Forests,,,6.034679263,6.041548505,23.88370565,4992,957,1.141826923,0.520833333,0.220352564,0.360576923,0
AtlasMXA_S918_2025,S918,15.93,-95.78,Mexico:Oaxaca:El Limón,México,Oaxaca,El Limón,40,2500,100,43442,forest: tropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Southern Pacific Dry Forests,,,6.740029111,2.107135083,1.715795587,7239,1177,1.560989087,0.980798453,0.193396878,0.524934383,0
AtlasMXA_S919_2025,S919,15.68,-96.47,Mexico:Oaxaca:Bahia la Boquilla,México,Oaxaca,La Boquilla,40,2500,100,43442,forest: tropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Southern Pacific Dry Forests,,,5.406604646,3.690142933,19.32758047,2965,681,4.991568297,2.731871838,0.370994941,0.876897133,0
AtlasMXA_S920_2025,S920,15.72,-96.41,Mexico:Oaxaca:Yolina,México,Oaxaca,Yolina,40,2500,100,43442,forest: tropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Southern Pacific Dry Forests,,,5.213558951,2.599783346,52.88059107,4714,1116,4.391175223,0.933389902,0.487908358,0.466694951,0
