"","...1","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"154",155,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"155",156,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"156",157,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"157",158,"NEF_diam_BAF1_2025",5.488,-53.99,12,379,491,174,508,46,245
"158",159,"NEF_diam_BAF3_2025",5.487,-53.99,12,421,429,182,521,47,268
"159",160,"NEF_diam_BALBF_2025",4.881,-52.627,1,404,350,171,686,46,332
"160",161,"NEF_diam_BALTF_2025",4.884,-52.629,1,385,346,187,647,46,318
"161",162,"NEF_diam_BLATF_2025",5.335,-53.957,12,259,461,178,498,45,256
"162",163,"NEF_diam_CAM_2025",4.557,-52.209,1,404,347,173,570,47,338
"163",164,"NEF_diam_CAMPK_2025",5.173,-52.655,1,448,160,271,695,52,477
"164",165,"NEF_diam_CAY2_2025",4.95,-52.305,1,0,0,0,0,0,0
"165",166,"NEF_diam_CAY3_2025",4.939,-52.289,1,0,0,0,0,0,0
"166",167,"NEF_diam_CGBF_2025",5.262,-53.321,12,425,398,174,712,44,305
"167",168,"NEF_diam_CGTF_2025",5.26,-53.323,12,401,409,178,727,45,296
"168",169,"NEF_diam_CNBF_2025",5.389,-53.27,12,385,366,174,636,45,338
"169",170,"NEF_diam_CNTF_2025",5.387,-53.321,12,428,376,186,639,45,287
"170",171,"NEF_diam_COOTF_2025",4.48,-52.428,1,417,356,172,628,46,303
"171",172,"NEF_diam_CRLBF_2025",5.279,-53.513,12,415,403,150,712,45,269
"172",173,"NEF_diam_CRLTF_2025",5.276,-53.515,12,486,396,144,699,45,288
"173",174,"NEF_diam_CSG1_2025",5.226,-52.836,1,371,343,198,672,46,305
"174",175,"NEF_diam_CSG2_2025",5.241,-52.839,1,456,308,181,596,45,381
"175",176,"NEF_diam_CSG3_2025",5.239,-52.838,1,446,307,177,590,45,369
"176",177,"NEF_diam_CSG4_2025",5.174,-52.871,1,428,320,160,607,46,361
"177",178,"NEF_diam_CSG5_2025",5.218,-52.839,1,446,312,217,692,47,345
"178",179,"NEF_diam_CSG6_2025",5.212,-52.835,1,443,297,205,669,45,372
"179",180,"NEF_diam_CSG7_2025",5.222,-52.855,1,393,312,205,646,46,369
