PermanentID,location,morrone_biogeoregions_Region,morrone_biogeoregions_Dominio,morrone_biogeoregions_Provincias,climenv_holdridge_class,“”,morrone_biogeoregions_Provincias,ND,algal_parasite,animal-associated,animal_endosymbiont,animal_parasite,arbuscular_mycorrhizal,arthropod-associated,dung_saprotroph,ectomycorrhizal,epiphyte,ericoid_mycorrhizal,foliar_endophyte,lichen_parasite,lichenized,litter_saprotroph,moss_symbiont,mycoparasite,nectar/tap_saprotroph,plant_pathogen,pollen_saprotroph,protistan_parasite,root_endophyte,soil_saprotroph,sooty_mold,unspecified,unspecified_pathotroph,unspecified_saprotroph,unspecified_symbiotroph,wood_saprotroph,sample_type,Sum,Count,% ECM per sample,% ECM per sample_ok,, Hill_q0,  Hill_q1
GF01003421S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003421S,N/A,27,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,5,0,0,0,2,0,1,soil,42,9,2.380952381,2.380952381,,9,3.727875
GF01003422S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003422S,N/A,18,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,1,0,1,0,0,0,4,0,0,0,1,0,0,soil,32,8,0,0,,8,4.263142
GF01003423S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003423S,N/A,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,5,0,0,0,2,0,0,soil,27,6,0,0,,6,4.28342
GF01003424S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003424S,N/A,22,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,2,0,0,0,8,0,0,0,3,0,1,soil,44,8,0,0,,8,4.663558
GF01003425S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003425S,N/A,21,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,2,0,1,soil,33,7,3.03030303,3.03030303,,7,3.579842
GF01003426S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003426S,N/A,25,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,5,0,0,0,3,0,0,soil,39,7,2.564102564,2.564102564,,7,3.403568
GF01003427S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003427S,N/A,19,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,2,0,0,0,5,0,0,0,2,0,1,soil,34,8,2.941176471,2.941176471,,8,4.330892
GF01003454S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003454S,N/A,17,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,2,0,0,0,4,0,0,0,2,0,0,soil,32,7,0,0,,7,4.410785
GF01003456S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003456S,N/A,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,3,0,0,0,2,0,0,soil,29,6,0,0,,6,3.491622
GF01003458S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003458S,N/A,37,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1,0,3,0,0,0,7,0,0,0,3,0,1,soil,59,9,1.694915254,1.694915254,,9,3.796488
