plot_id;tokeep_NEF;alternative_plot_id;site_id;site_name;habitat;habitat_simple;project;seq_run;fg_soil_project;latitude;longitude;altitude;eDNA_sequence_data_available;phys_chem_data_available;phys_chem_patches_analyzed;clay;silt;sand;pH;TN;OC;CN;AP
CRLTF;yes;CRLTF;CRL;Crique Loutre;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;527.638;-5.351.513;127;yes;yes;NA;54;9.275;36.725;50.275;4.05;61.725;1.524.859;0.00625
CSG1;yes;CSG61;CSG;Centre Spatial Guyanais;White-Sand;White-Sand;DIADEMA;DIAMOND;yes;5.226;-5.283.611;42;yes;yes;NA;366.667;113.333;95.2;496.667;0.078;0.93667;1.143.667;14.23
CSG2;yes;CSG62;CSG;Centre Spatial Guyanais;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;524.142;-5.283.857;45;yes;yes;NA;1.783.333;5.2;7.696.667;513.333;0.07133;1.12;1.537.667;1.175.667
CSG3;yes;CSG63;CSG;Centre Spatial Guyanais;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;DIAMOND;yes;523.927;-5.283.829;45;yes;yes;NA;1.383.333;7.7;7.846.667;493.333;0.20867;335.333;1.782.667;1.616.667
CSG4;yes;CSG64;CSG;Centre Spatial Guyanais;White-Sand;White-Sand;DIADEMA;DIAMOND;yes;5.174;-5.287.101;63;no;yes;NA;2;183.333;9.616.667;454.333;0.07267;120.333;16.54;10.58
CSG5;yes;CSG65;CSG;Centre Spatial Guyanais;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;DIAMOND;yes;5.218;-5.283.893;43;no;yes;NA;2.363.333;1.016.667;66.2;513.333;0.114;154.333;1.346.333;11.24
CSG6;yes;CSG66;CSG;Centre Spatial Guyanais;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;521.223;-5.283.491;43;no;yes;NA;18;493.333;7.706.667;493.333;0.09633;121.333;1.256.333;15.9
CSG7;yes;CSG67;CSG;Centre Spatial Guyanais;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;522.198;-528.549;53;no;yes;NA;1.393;34.402;64.205;4.64;0.1208;1.753;1.451.159;0.86
CSG8;yes;CSG68;CSG;Centre Spatial Guyanais;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;DIAMOND;yes;522.221;-5.284.672;46;no;yes;NA;1.543;34.232;64.225;4.51;0.2384;39.557;165.927;4.62
FRG;yes;FRG;FRG;Regina ONF;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;431.339;-5.223.599;;yes;yes;1;16.375;16.175;67.45;51.825;20.875;35.8;173.106.606;0.00675
GALP1;yes;GALP1;GAL;Galbao;Terra Firme;Terra Firme;DIAMOND;GALBAO;yes;359.978;-532.701;500;yes;yes;NA;989.063;541.525;3.595.888;4.475;0.47014;459.897;9.769;0.29154
