plot_id;tokeep_NEF;alternative_plot_id;site_id;site_name;habitat;habitat_simple;project;seq_run;fg_soil_project;latitude;longitude;altitude;eDNA_sequence_data_available;phys_chem_data_available;phys_chem_patches_analyzed;clay;silt;sand;pH;TN;OC;CN;AP
BUG-1402;no;BUG_1402;URB_MAC;Macouria;Garden;Urban Area;BUG;BUG;yes;NA;NA;NA;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1403;no;BUG_1403;URB_REM;Remire-Montjoly;Garden;Urban Area;BUG;BUG;yes;4.888.531.208;-5.228.037.262;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1404;no;BUG_1404;URB_REM;Remire-Montjoly;Garden;Urban Area;BUG;BUG;yes;4.883.598.804;-5.227.621.078;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1405;no;BUG_1405;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.888.239.861;-522.930.336;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1406;no;BUG_1406;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.926.170.349;-5.229.882.813;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1407;no;BUG_1407;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.921.080.112;-5.230.300.903;15;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1408;no;BUG_1408;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.924.146.175;-5.231.391.144;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1409;no;BUG_1409;URB_REM;Remire-Montjoly;Garden;Urban Area;BUG;BUG;yes;4.915.167.809;-5.230.764.008;12;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1410;no;BUG_1410;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.915.935.993;-5.231.817.627;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1411;no;BUG_1411;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.923.871.994;-5.231.560.135;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1412;no;BUG_1412;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.920.930.862;-5.230.404.282;10;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1413;no;BUG_1413;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.923.899.174;-5.231.411.362;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1414;no;BUG_1414;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.916.779.041;-5.230.823.898;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1415;no;BUG_1415;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.925.662.041;-5.230.048.752;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1416;no;BUG_1416;URB_MAT;Matoury;Garden;Urban Area;BUG;BUG;yes;493.256.712;-523.318.634;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1417;no;BUG_1417;URB_REM;Remire-Montjoly;Garden;Urban Area;BUG;BUG;yes;491.928.196;-5.229.333.878;18;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1418;no;BUG_1418;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.925.932.884;-5.229.961.014;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1419;no;BUG_1419;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;49.358.778;-5.228.616.714;17;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1421;no;BUG_1421;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1422;no;BUG_1422;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1423;no;BUG_1423;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1424;no;BUG_1424;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1425;no;BUG_1425;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1426;no;BUG_1426;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1427;no;BUG_1427;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1428;no;BUG_1428;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1429;no;BUG_1429;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1430;no;BUG_1430;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1431;no;BUG_1431;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1432;no;BUG_1432;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1433;no;BUG_1433;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1434;no;BUG_1434;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1435;no;BUG_1435;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1436;no;BUG_1436;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1437;no;BUG_1437;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1438;no;BUG_1438;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1439;no;BUG_1439;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1440;no;BUG_1440;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1441;no;BUG_1441;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1442;no;BUG_1442;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1443;no;BUG_1443;URB_CAY;Cayenne;Schoolyard;Urban Area;BUG;BUG;yes;4.940.831.661;-5.233.343.887;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1444;no;BUG_1444;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1445;no;BUG_1445;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1446;no;BUG_1446;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1447;no;BUG_1447;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1448;no;BUG_1448;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1449;no;BUG_1449;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1450;no;BUG_1450;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1451;no;BUG_1451;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1452;no;BUG_1452;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1453;no;BUG_1453;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1454;no;BUG_1454;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1455;no;BUG_1455;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1456;no;BUG_1456;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1457;no;BUG_1457;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1458;no;BUG_1458;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1459;no;BUG_1459;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1460;no;BUG_1460;URB_REG;Regina;Schoolyard;Urban Area;BUG;BUG;yes;43.125;-5.212.960.052;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1461;no;BUG_1461;URB_SLM;Saint-Laurent-du-Maroni;Garden;Urban Area;BUG;BUG;yes;5.461.500.168;-5.404.219.818;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1462;no;BUG_1462;URB_CAY;Cayenne;Garden;Urban Area;BUG;BUG;yes;4.939.400.196;-5.229.090.118;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1463;no;BUG_1463;URB_MAT;Matoury;Garden;Urban Area;BUG;BUG;yes;487.319.994;-5.231.629.944;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1464;no;BUG_1464;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1465;no;BUG_1465;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1466;no;BUG_1466;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1467;no;BUG_1467;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1468;no;BUG_1468;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1469;no;BUG_1469;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1470;no;BUG_1470;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1471;no;BUG_1471;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1472;no;BUG_1472;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1473;no;BUG_1473;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1474;no;BUG_1474;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1475;no;BUG_1475;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1476;no;BUG_1476;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1477;no;BUG_1477;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1478;no;BUG_1478;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1479;no;BUG_1479;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1480;no;BUG_1480;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1481;no;BUG_1481;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1482;no;BUG_1482;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1483;no;BUG_1483;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1484;no;BUG_1484;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1485;no;BUG_1485;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1486;no;BUG_1486;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1487;no;BUG_1487;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1488;no;BUG_1488;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1489;no;BUG_1489;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1490;no;BUG_1490;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1491;no;BUG_1491;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1492;no;BUG_1492;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1493;no;BUG_1493;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1494;no;BUG_1494;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1495;no;BUG_1495;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1496;no;BUG_1496;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1497;no;BUG_1497;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1498;no;BUG_1498;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1499;no;BUG_1499;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1500;no;BUG_1500;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1501;no;BUG_1501;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1502;no;BUG_1502;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1503;no;BUG_1503;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1504;no;BUG_1504;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1505;no;BUG_1505;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1506;no;BUG_1506;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1507;no;BUG_1507;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1508;no;BUG_1508;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1509;no;BUG_1509;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1510;no;BUG_1510;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1511;no;BUG_1511;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1512;no;BUG_1512;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1513;no;BUG_1513;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1514;no;BUG_1514;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1515;no;BUG_1515;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1516;no;BUG_1516;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1517;no;BUG_1517;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1518;no;BUG_1518;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1519;no;BUG_1519;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1520;no;BUG_1520;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1521;no;BUG_1521;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1522;no;BUG_1522;URB_REM;Remire-Montjoly;Schoolyard;Urban Area;BUG;BUG;yes;4.880.223.751;-5.228.917.694;20;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1523;no;BUG_1523;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1524;no;BUG_1524;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1525;no;BUG_1525;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1526;no;BUG_1526;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1527;no;BUG_1527;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1528;no;BUG_1528;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1529;no;BUG_1529;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1530;no;BUG_1530;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1531;no;BUG_1531;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1532;no;BUG_1532;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1533;no;BUG_1533;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1534;no;BUG_1534;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1535;no;BUG_1535;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-1536;no;BUG_1536;URB_KOU;Kourou;Schoolyard;Urban Area;BUG;BUG;yes;5.169.611.931;-5.264.384.842;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
