plot_id,alternative_plot_id,site_id,site_name,habitat,habitat_simple,project,seq_run,fg_soil_project,latitude,longitude,altitude,eDNA_sequence_data_available,phys_chem_data_available,phys_chem_patches_analyzed,clay,silt,sand,pH,TN,OC,CN,AP  
BUG-1248,BUG_1248,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1249,BUG_1249,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1250,BUG_1250,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1251,BUG_1251,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1252,BUG_1252,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1253,BUG_1253,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1254,BUG_1254,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1255,BUG_1255,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1256,BUG_1256,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1257,BUG_1257,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1258,BUG_1258,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1259,BUG_1259,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1260,BUG_1260,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1261,BUG_1261,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.472099781,-54.03210068,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1262,BUG_1262,URB_REM,Remire-Montjoly,Garden,Urban Area,BUG,BUG,yes,4.910484791,-52.26429749,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1263,BUG_1263,URB_REM,Remire-Montjoly,Garden,Urban Area,BUG,BUG,yes,4.910484791,-52.26429749,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1264,BUG_1264,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1265,BUG_1265,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1266,BUG_1266,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1267,BUG_1267,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1268,BUG_1268,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1269,BUG_1269,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1270,BUG_1270,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1271,BUG_1271,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1272,BUG_1272,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1273,BUG_1273,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1274,BUG_1274,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1275,BUG_1275,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1276,BUG_1276,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1277,BUG_1277,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1278,BUG_1278,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1279,BUG_1279,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1280,BUG_1280,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1281,BUG_1281,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1282,BUG_1282,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1283,BUG_1283,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1284,BUG_1284,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1285,BUG_1285,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1286,BUG_1286,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1287,BUG_1287,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1288,BUG_1288,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1289,BUG_1289,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1290,BUG_1290,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1291,BUG_1291,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1292,BUG_1292,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1293,BUG_1293,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1294,BUG_1294,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1295,BUG_1295,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1296,BUG_1296,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1297,BUG_1297,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1298,BUG_1298,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1299,BUG_1299,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1300,BUG_1300,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1301,BUG_1301,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1302,BUG_1302,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1303,BUG_1303,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1304,BUG_1304,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1305,BUG_1305,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1306,BUG_1306,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1307,BUG_1307,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1308,BUG_1308,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1309,BUG_1309,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1310,BUG_1310,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1311,BUG_1311,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.49119997,-54.03490067,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1312,BUG_1312,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1313,BUG_1313,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1314,BUG_1314,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1315,BUG_1315,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1316,BUG_1316,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1317,BUG_1317,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1318,BUG_1318,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1319,BUG_1319,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1320,BUG_1320,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1321,BUG_1321,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1322,BUG_1322,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1323,BUG_1323,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1324,BUG_1324,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1325,BUG_1325,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1326,BUG_1326,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1327,BUG_1327,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1328,BUG_1328,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1329,BUG_1329,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1330,BUG_1330,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1331,BUG_1331,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1332,BUG_1332,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1333,BUG_1333,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1334,BUG_1334,URB_SLM,Saint-Laurent-du-Maroni,Schoolyard,Urban Area,BUG,BUG,yes,5.481299877,-54.03900146,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1335,BUG_1335,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.935976982,-52.30950928,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1336,BUG_1336,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.93474102,-52.29970551,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1337,BUG_1337,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.919772148,-52.3157959,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1338,BUG_1338,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.939239979,-52.29407501,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1339,BUG_1339,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.888623238,-52.29261017,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1340,BUG_1340,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.936172009,-52.30825806,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1341,BUG_1341,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.925798893,-52.29074478,10,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1342,BUG_1342,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.935482979,-52.31085587,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1343,BUG_1343,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.935262203,-52.30201721,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1344,BUG_1344,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.927001953,-52.31435776,10,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1345,BUG_1345,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.941998005,-52.30670547,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1346,BUG_1346,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.941530228,-52.30027771,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1347,BUG_1347,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.943802834,-52.29995728,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1348,BUG_1348,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.934039116,-52.30089569,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1349,BUG_1349,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.922743797,-52.31166458,11,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1350,BUG_1350,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.932953835,-52.29905701,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1351,BUG_1351,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.917950153,-52.27456284,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1352,BUG_1352,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.940515995,-52.3029747,12,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1353,BUG_1353,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.876694202,-52.33454895,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1354,BUG_1354,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.938849926,-52.29396439,4,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1355,BUG_1355,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.943808079,-52.29994965,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1356,BUG_1356,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.931940079,-52.3283844,2,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1357,BUG_1357,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.923045158,-52.31203079,9,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1358,BUG_1358,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.934445858,-52.30538559,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1359,BUG_1359,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.874669075,-52.3200798,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1360,BUG_1360,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.941732883,-52.30647278,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1361,BUG_1361,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.940564156,-52.30712128,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1362,BUG_1362,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.923377037,-52.30519104,17,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1363,BUG_1363,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.938490868,-52.29693985,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1364,BUG_1364,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.939285278,-52.31842422,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1365,BUG_1365,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.923836231,-52.31336212,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1366,BUG_1366,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.934954166,-52.29698563,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1367,BUG_1367,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.876646042,-52.35390472,65,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1368,BUG_1368,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.938550949,-52.30274963,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1369,BUG_1369,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.936779976,-52.31735992,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1370,BUG_1370,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1371,BUG_1371,URB_MAC,Macouria,Garden,Urban Area,BUG,BUG,yes,4.984000206,-52.47921371,8,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1372,BUG_1372,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.926969051,-52.30501175,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1373,BUG_1373,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.942249775,-52.30686951,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1374,BUG_1374,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.94246912,-52.31555557,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1375,BUG_1375,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.938842773,-52.29372787,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1376,BUG_1376,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.924927235,-52.30202484,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1377,BUG_1377,URB_CAY,Cayenne,Garden,Urban Area,BUG,BUG,yes,4.941336155,-52.30692291,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1378,BUG_1378,URB_MAC,Macouria,Garden,Urban Area,BUG,BUG,yes,4.930955887,-52.40407181,12,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1379,BUG_1379,NA,NA,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1380,BUG_1380,URB_MAT,Matoury,Garden,Urban Area,BUG,BUG,yes,4.873519897,-52.32302094,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1381,BUG_1381,URB_MAT,Matoury,Garden,Urban Area,BUG,BUG,yes,4.850808144,-52.32076263,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1382,BUG_1382,URB_MAC,Macouria,Garden,Urban Area,BUG,BUG,yes,4.94569397,-52.42618942,22,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-1383,BUG_1383,URB_MAT,Matoury,Garden,Urban Area,BUG,BUG,yes,4.8297472,-52.35688019,8,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
