PermanentID,location,morrone_biogeoregions_Region,morrone_biogeoregions_Dominio,morrone_biogeoregions_Provincias,climenv_holdridge_class,“”,biogeoregions_Provincias,ND,algal_parasite,animal_endosymbiont,animal_parasite,arbuscular_mycorrhizal,arthropod-associated,dung_saprotroph,ectomycorrhizal,epiphyte,ericoid_mycorrhizal,foliar_endophyte,lichen_parasite,lichenized,litter_saprotroph,moss_symbiont,mycoparasite,nectar/tap_saprotroph,plant_pathogen,pollen_saprotroph,protistan_parasite,root_endophyte,soil_saprotroph,sooty_mold,unspecified,unspecified_pathotroph,unspecified_saprotroph,unspecified_symbiotroph,wood_saprotroph,sample_type,Sum,Count,% ECM per sample,% ECM per sample_OK,,, Hill_q0, Hill_q1,,,,,,,,,,,,,,,,,,,,
GF01005010S,"Pia Glacier, Tierra del Fuego (XII Region, Chile)",N/A,N/A,N/A,Wet forest,GF01005010S,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,soil,0,0,#DIV/0!,0,,,0,1,,,,,,,,,,,,,,,,,,,,
GF01005011S,"Pia Glacier, Tierra del Fuego (XII Region, Chile)",N/A,N/A,N/A,Wet forest,GF01005011S,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,soil,0,0,#DIV/0!,0,,,0,1,,,,,,,,,,,,,,,,,,,,
GF01005012S,"Parry Glacier, Tierra del Fuego (XII Region, Chile)",N/A,N/A,N/A,Moist forest|Wet forest,GF01005012S,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,soil,0,0,#DIV/0!,0,,,0,1,,,,,,,,,,,,,,,,,,,,
GF01005013S,"Parry Glacier, Tierra del Fuego (XII Region, Chile)",N/A,N/A,N/A,Moist forest|Wet forest,GF01005013S,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,soil,0,0,#DIV/0!,0,,,0,1,,,,,,,,,,,,,,,,,,,,
GF01005014S,"Pia Glacier, Tierra del Fuego (XII Region, Chile)",N/A,N/A,N/A,Wet forest,GF01005014S,N/A,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,soil,7,1,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,
GF01005121S,Trinidad,Neotropical,Pacific,Trinidad province,Moist forest,GF01005121S,Trinidad province,80,0,0,5,11,0,0,0,0,0,1,0,0,10,0,3,0,15,1,0,0,17,0,0,0,2,0,15,soil,160,11,0,0,,,11,5.403501,,,,,,,,,,,,,,,,,,,,
GF01005122S,Trinidad,Neotropical,Pacific,Trinidad province,Moist forest,GF01005122S,Trinidad province,92,0,0,5,2,0,0,0,0,0,2,1,1,10,0,5,1,23,0,0,0,16,0,0,0,5,0,12,soil,175,13,0,0,,,13,5.292362,,,,,,,,,,,,,,,,,,,,
GF01005123S,Trinidad,Neotropical,Pacific,Trinidad province,Moist forest,GF01005123S,Trinidad province,92,0,0,10,12,0,1,0,0,0,1,0,0,7,0,1,1,29,0,0,0,19,1,0,0,7,0,14,soil,195,13,0,0,,,13,5.764946,,,,,,,,,,,,,,,,,,,,
GF01005124S,Trinidad,Neotropical,Pacific,Trinidad province,Moist forest,GF01005124S,Trinidad province,87,0,0,4,25,0,0,0,2,0,2,0,0,3,0,2,0,19,0,0,0,9,0,0,0,3,0,8,soil,164,11,0,0,,,11,4.843175,,,,,,,,,,,,,,,,,,,,
GF01005125S,Trinidad,Neotropical,Pacific,Trinidad province,Moist forest,GF01005125S,Trinidad province,94,0,0,6,8,0,0,0,0,0,3,0,0,8,0,4,3,28,0,0,0,15,0,0,0,5,0,14,soil,188,11,0,0,,,11,5.55332,,,,,,,,,,,,,,,,,,,,
