"","new.ID","PermanentID","sequencing_platform","NEF.dataset"
"1518","NEF_GloFung-its1_569_2021","GF04004499S","Illumina","ITS1"
"1519","NEF_GloFung-its1_586_2021","GF04004498S","Illumina","ITS1"
"1520","NEF_GloFung-its1_577_2021","GF04004497S","Illumina","ITS1"
"1521","NEF_GloFung-its1_570_2021","GF04004496S","Illumina","ITS1"
"1522","NEF_GloFung-its1_563_2021","GF04004495S","Illumina","ITS1"
"1523","NEF_GloFung-its1_579_2021","GF04004494S","Illumina","ITS1"
"1524","NEF_GloFung-its1_563_2021","GF04004493S","Illumina","ITS1"
"1525","NEF_GloFung-its1_570_2021","GF04004492S","Illumina","ITS1"
"1526","NEF_GloFung-its1_571_2021","GF04004491S","Illumina","ITS1"
"1527","NEF_GloFung-its1_568_2021","GF04004490S","Illumina","ITS1"
"1528","NEF_GloFung-its1_579_2021","GF04004489S","Illumina","ITS1"
"1529","NEF_GloFung-its1_567_2021","GF04004488S","Illumina","ITS1"
"1530","NEF_GloFung-its1_573_2021","GF04004487S","Illumina","ITS1"
"1531","NEF_GloFung-its1_570_2021","GF04004486S","Illumina","ITS1"
"1532","NEF_GloFung-its1_574_2021","GF04004485S","Illumina","ITS1"
"1533","NEF_GloFung-its1_565_2021","GF04004484S","Illumina","ITS1"
"1534","NEF_GloFung-its1_569_2021","GF04004483S","Illumina","ITS1"
"1535","NEF_GloFung-its1_563_2021","GF04004482S","Illumina","ITS1"
"1536","NEF_GloFung-its1_573_2021","GF04004481S","Illumina","ITS1"
"1537","NEF_GloFung-its1_567_2021","GF04004480S","Illumina","ITS1"
"1538","NEF_GloFung-its1_564_2021","GF04004479S","Illumina","ITS1"
"1539","NEF_GloFung-its1_568_2021","GF04004478S","Illumina","ITS1"
"1540","NEF_GloFung-its1_586_2021","GF04004477S","Illumina","ITS1"
"1541","NEF_GloFung-its1_573_2021","GF04004476S","Illumina","ITS1"
"1542","NEF_GloFung-its1_566_2021","GF04004475S","Illumina","ITS1"
"1543","NEF_GloFung-its1_573_2021","GF04004474S","Illumina","ITS1"
"1544","NEF_GloFung-its1_564_2021","GF04004473S","Illumina","ITS1"
"1545","NEF_GloFung-its1_565_2021","GF04004472S","Illumina","ITS1"
"1546","NEF_GloFung-its1_570_2021","GF04004471S","Illumina","ITS1"
"1547","NEF_GloFung-its1_563_2021","GF04004470S","Illumina","ITS1"
"1548","NEF_GloFung-its1_564_2021","GF04004469S","Illumina","ITS1"
"1549","NEF_GloFung-its1_563_2021","GF04004468S","Illumina","ITS1"
"1550","NEF_GloFung-its1_566_2021","GF04004467S","Illumina","ITS1"
"1551","NEF_GloFung-its1_575_2021","GF04004466S","Illumina","ITS1"
"1552","NEF_GloFung-its1_565_2021","GF04004465S","Illumina","ITS1"
"1553","NEF_GloFung-its1_574_2021","GF04004464S","Illumina","ITS1"
"1554","NEF_GloFung-its1_567_2021","GF04004463S","Illumina","ITS1"
"1555","NEF_GloFung-its1_579_2021","GF04004462S","Illumina","ITS1"
"1556","NEF_GloFung-its1_567_2021","GF04004461S","Illumina","ITS1"
"1557","NEF_GloFung-its1_568_2021","GF04004460S","Illumina","ITS1"
