PermanentID,Longitude,Latitude,continent,country
GF05015569S,-72.60025,-38.658297,South America,Chile
GF05015568S,-72.60025,-38.658297,South America,Chile
GF05015289S,-89.58166,13.8186,North America,El Salvador
GF05015288S,-89.58166,13.8186,North America,El Salvador
GF05015287S,-89.58166,13.8186,North America,El Salvador
GF05015286S,-89.5695,13.8281,North America,El Salvador
GF05015285S,-89.5695,13.8281,North America,El Salvador
GF05015284S,-89.5695,13.8281,North America,El Salvador
GF05015283S,-89.5695,13.8281,North America,El Salvador
GF05015282S,-89.5695,13.8281,North America,El Salvador
GF05015281S,-89.5695,13.8281,North America,El Salvador
GF05015280S,-89.5695,13.8281,North America,El Salvador
GF05015279S,-89.5695,13.8281,North America,El Salvador
GF05015278S,-89.58166,13.8186,North America,El Salvador
GF05015277S,-89.58166,13.8186,North America,El Salvador
GF05015276S,-89.5695,13.8281,North America,El Salvador
GF05015275S,-89.5695,13.8281,North America,El Salvador
GF05015274S,-89.5992,13.8075,North America,El Salvador
GF05015273S,-89.5992,13.8075,North America,El Salvador
GF05015272S,-89.58166,13.8186,North America,El Salvador
GF05015271S,-89.58166,13.8186,North America,El Salvador
GF05015270S,-89.58166,13.8186,North America,El Salvador
GF05015269S,-89.58166,13.8186,North America,El Salvador
GF05015268S,-89.58166,13.8186,North America,El Salvador
GF05015267S,-89.5992,13.8075,North America,El Salvador
GF05015266S,-89.58166,13.8186,North America,El Salvador
GF05015265S,-89.58166,13.8186,North America,El Salvador
GF05015264S,-89.58166,13.8186,North America,El Salvador
GF05015263S,-89.58166,13.8186,North America,El Salvador
GF05015262S,-89.58166,13.8186,North America,El Salvador
GF05015261S,-89.5992,13.8075,North America,El Salvador
GF05015260S,-89.58166,13.8186,North America,El Salvador
GF05015259S,-89.5992,13.8075,North America,El Salvador
GF05015258S,-89.5992,13.8075,North America,El Salvador
GF05015257S,-89.5992,13.8075,North America,El Salvador
GF05015256S,-89.5992,13.8075,North America,El Salvador
GF05015255S,-89.5992,13.8075,North America,El Salvador
GF05015254S,-89.5992,13.8075,North America,El Salvador
GF05015253S,-89.5992,13.8075,North America,El Salvador
GF05015252S,-89.5992,13.8075,North America,El Salvador
GF05015251S,-89.5992,13.8075,North America,El Salvador
GF05015250S,-89.5992,13.8075,North America,El Salvador
GF05015249S,-89.5992,13.8075,North America,El Salvador
GF05015248S,-89.5992,13.8075,North America,El Salvador
GF05015247S,-89.5992,13.8075,North America,El Salvador
GF05015246S,-89.5992,13.8075,North America,El Salvador
GF05015245S,-89.5992,13.8075,North America,El Salvador
GF05015244S,-89.58166,13.8186,North America,El Salvador
GF05015243S,-89.58166,13.8186,North America,El Salvador
GF05015242S,-89.58166,13.8186,North America,El Salvador
GF05015241S,-89.58166,13.8186,North America,El Salvador
GF05015240S,-89.58166,13.8186,North America,El Salvador
GF05015239S,-89.58166,13.8186,North America,El Salvador
GF05015238S,-89.58166,13.8186,North America,El Salvador
GF05015237S,-89.58166,13.8186,North America,El Salvador
GF05015236S,-89.58166,13.8186,North America,El Salvador
GF05015235S,-89.58166,13.8186,North America,El Salvador
GF05015234S,-89.5992,13.8075,North America,El Salvador
GF05015233S,-89.58166,13.8186,North America,El Salvador
GF05015232S,-89.58166,13.8186,North America,El Salvador
GF05015231S,-89.5695,13.8281,North America,El Salvador
GF05015230S,-89.5695,13.8281,North America,El Salvador
GF05015229S,-89.5695,13.8281,North America,El Salvador
GF05015228S,-89.5695,13.8281,North America,El Salvador
GF05015227S,-89.5992,13.8075,North America,El Salvador
GF05015226S,-89.5992,13.8075,North America,El Salvador
GF05015225S,-89.5992,13.8075,North America,El Salvador
GF05015224S,-89.5992,13.8075,North America,El Salvador
GF05015223S,-89.5992,13.8075,North America,El Salvador
GF05015222S,-89.5992,13.8075,North America,El Salvador
GF05015221S,-89.5992,13.8075,North America,El Salvador
GF05015220S,-89.5992,13.8075,North America,El Salvador
GF05015002S,-84.949673,30.576977,North America,USA
GF05015001S,-84.949621,30.576958,North America,USA
GF05015000S,-84.949621,30.576958,North America,USA
GF05014999S,-84.949789,30.576966,North America,USA
GF05014998S,-84.949789,30.576966,North America,USA
GF05014997S,-84.9496,30.576985,North America,USA
GF05014996S,-84.94957,30.577005,North America,USA
GF05014995S,-84.951142,30.57676,North America,USA
GF05014994S,-84.950917,30.577019,North America,USA
GF05014993S,-84.950762,30.577111,North America,USA
GF05014992S,-84.950621,30.577249,North America,USA
GF05014991S,-84.951024,30.576478,North America,USA
GF05014990S,-84.951378,30.576525,North America,USA
GF05014989S,-84.951378,30.576525,North America,USA
GF05014988S,-84.951323,30.576371,North America,USA
GF05014987S,-84.951254,30.576341,North America,USA
GF05014986S,-84.951254,30.576341,North America,USA
GF05014985S,-84.951357,30.576298,North America,USA
GF05014657S,-68.7087167,-31.4519,South America,Argentina
GF05014656S,-68.7087167,-31.4519,South America,Argentina
GF05014650S,-68.7581,-31.47345,South America,Argentina
GF05014641S,-68.7581,-31.47345,South America,Argentina
GF05014639S,-68.7581,-31.47345,South America,Argentina
GF05013247S,-82.2175,8.7608,North America,Panama
GF05013241S,-102.6003,22.1989,North America,Mexico
GF05013235S,-65.8789,-28.1872,South America,Argentina
GF05013227S,-72.8811,-49.3761,South America,Argentina
GF05013224S,-52.2092,4.5533,South America,France
GF05013214S,-100.9128,25.2464,North America,Mexico
GF05013205S,-48.8522,-15.81,South America,Brazil
GF05013204S,-47.4783,-13.6367,South America,Brazil
GF05013199S,-84.6139,9.5958,North America,Costa Rica
GF05013195S,-70.9011,-53.1619,South America,Chile
GF05013187S,-52.21,4.5542,South America,France
GF05013176S,-48.9878,-24.0653,South America,Brazil
GF05013171S,-99.3681,19.2822,North America,Mexico
GF05013170S,-91.3106,16.1581,North America,Mexico
GF05013169S,-96.4128,15.7167,North America,Mexico
